gmap_id,nombre_restaurant,id_estado,valoracion_promedio
0x890007d78c3e5ab9:0x4f105096aaef191d,The Aynor Inn,SC,4.3
0x89ba851083db2e95:0x3439b511ffc0972c,Healthy Gourmet Express,VA,4.3
0x88d9b1f38dff4dff:0x61443de98cd9c88c,Crab Du Jour Cajun Seafood & Bar,FL,4.7
0x88dd8019b7c4167b:0x7043f86a8346dcf3,Sizzler,FL,3.4
0x88e44b7e69565ac5:0x3dfe920e1417a40c,Cajun Boil Express,FL,5.0
0x8890eff2db2544cb:0x661d1a6f60aa3201,Cajun Crab,FL,4.0
0x89a52f760086386f:0xd49d73c85d13e8b2,Corolla Seafood Buffet,NC,3.7
0x88541fe732ca64ff:0xcd0335cf35f177c,Louisiana Lucky Phat Seafood,NC,4.3
0x88dae33bfbda83ff:0xb8247ee5005e3d24,Dilly's Seafood Truck at Celebration Park,FL,4.5
0x88fc6d0f0819d453:0x39c965c15a435347,Port Royal Seafood Inc.,SC,1.0
0x88d9b010f6400001:0x9e1911a7dcca6405,Nini Seafood,FL,4.8
0x88feef8abbcfe199:0xa6ba3f7271870913,Taste My Garlic Crabs llc,SC,4.6
0x88f509c9f0af8c29:0x25a46b00d9fd4967,KBOP,GA,4.9
0x88d901bc6387dc57:0x485755851e90c952,Danny's Kitchen,FL,4.2
0x88db3ffb4c4ed63b:0xdf072319e5b0cd21,Bratta's Seafood Steaks & Pasta Restaurant,FL,3.6
0x88c302caf69f54f1:0xdbfcd85ccc764c4f,Sunsets' Tequila Bar at Loews Don CeSar Hotel,FL,3.6
0x88f5036de11bf8c7:0x64de326982252c1b,Southern Seafood & BBQ,GA,3.5
0x88e71286d860ae23:0x8f1e6c4ea94674a6,Joe's Crab Shack,FL,3.1
0x88d8d69ac8872eed:0x27b6361453f3fee4,Del Frisco's Grille,FL,5.0
0x88f51dda89203345:0x830ec19f9231054c,Off The Hook Crabs & Fish,GA,4.5
0x88f4e3041a898bf5:0x5e3fd49e82484ce2,Seasoned 7 Bistro & Bar,GA,4.0
0x89b7c702bd08b4c9:0x813f295875c3f328,Cajun Grill,MD,5.0
0x88d8d9c41c7d6f61:0x2a19314ad351e01b,Malcolm's,FL,2.8
0x88f50160cb35a85f:0x7ad0f83428c670a5,One Way Louisiana Style Seafood,GA,3.9
0x88e5b4f34690250d:0x6ba06216c5411de4,Captain's Catch,FL,4.5
0x88f4fbae9fa4cc89:0xec4c48740a079952,Wings & Seafood,GA,4.6
0x89adbc1fa2911fdb:0xdd13364846c62db7,JJ's Fish & Chicken,NC,3.6
0x89af8f092df92d95:0xbef3511f722e9498,The Cypress Landing Restaurant At Bayside Marina,NC,4.5
0x8859f34145ec1ee7:0x5e5e5e3f484e66da,Crab Du Jour - Asheville,NC,4.2
0x88f257a43d4a2475:0xf8fc14856ffdd940,Seafood Center,GA,3.9
0x88d8e218d8f60b33:0x59198f48e99f2472,13 American Table,FL,4.6
0x88d9ba591d700baf:0xda28a38d3a9d364f,Atlantic Restaurant & Sport Lounge,FL,4.5
0x88d9b7ccc71589f3:0x8c2e01f74a939004,Chart House - CLOSED,FL,3.1
0x88582c3226b86be5:0x65b465180190008c,Hampton Seafood,SC,3.9
0x88dae2c9d6a75027:0x1d07c14380c72ba7,Nemo Sports Bar,FL,4.0
0x88e5c5b33033e21b:0xe2393298c6949343,Tunis Seafood Wings Subs,FL,4.4
0x88e77f012da4f8e5:0xec84885f62f0a379,Lolailo The Original,FL,3.7
0x88d905db368b8d7b:0x28fddfae9a67f2b7,La Granja Parrila,FL,3.1
0x88f0411b336ef55d:0x7ff50ffafaf24a1f,Ocean-N-Motion,GA,5.0
0x89c809b6b69d46e7:0x64cb16d84f6a7f15,Urban Crab Shack,MD,3.9
0x88de61125e392837:0xef7af8b0e1e0265d,Sushi Factory,FL,4.7
0x88e4d0810bafa93f:0xab8d5f1e3774c15c,Mainely Lobster and Seafood Too!,GA,4.2
0x89007d8580c6b751:0x7bc7cc9115bc6cfa,Steven's Restaurant & Oyster,SC,4.3
0x89b7bc2fdfabe817:0x129b9bf593caf743,Captain D's,MD,4.0
0x89ba8476612eb891:0xfd803e8a72ec5497,Popeyes Louisiana Kitchen,VA,4.3
0x88f50993386edc13:0x7d8d9cd41753cf21,2990 Nola Cafe,GA,4.5
0x88d9b492aaaf8157:0x7f36b9e06462e074,Quinn's South Beach,FL,4.7
0x88f8d5d6fd08cf8b:0x1c0c47fe998afbbc,Brooklyn restaurant and loung,SC,4.4
0x89c80faf1ab84675:0x76cbe36d46c9737f,S & J Crab Ranch,MD,3.4
