nombre_restaurant,gmap_id,estado
The Aynor Inn,0x890007d78c3e5ab9:0x4f105096aaef191d,SC
Healthy Gourmet Express,0x89ba851083db2e95:0x3439b511ffc0972c,VA
Crab Du Jour Cajun Seafood & Bar,0x88d9b1f38dff4dff:0x61443de98cd9c88c,FL
Sizzler,0x88dd8019b7c4167b:0x7043f86a8346dcf3,FL
Cajun Boil Express,0x88e44b7e69565ac5:0x3dfe920e1417a40c,FL
Cajun Crab,0x8890eff2db2544cb:0x661d1a6f60aa3201,FL
Corolla Seafood Buffet,0x89a52f760086386f:0xd49d73c85d13e8b2,NC
Louisiana Lucky Phat Seafood,0x88541fe732ca64ff:0xcd0335cf35f177c,NC
Dilly's Seafood Truck at Celebration Park,0x88dae33bfbda83ff:0xb8247ee5005e3d24,FL
Port Royal Seafood Inc.,0x88fc6d0f0819d453:0x39c965c15a435347,SC
Nini Seafood,0x88d9b010f6400001:0x9e1911a7dcca6405,FL
Taste My Garlic Crabs llc,0x88feef8abbcfe199:0xa6ba3f7271870913,SC
KBOP,0x88f509c9f0af8c29:0x25a46b00d9fd4967,GA
Danny's Kitchen,0x88d901bc6387dc57:0x485755851e90c952,FL
Bratta's Seafood Steaks & Pasta Restaurant,0x88db3ffb4c4ed63b:0xdf072319e5b0cd21,FL
Sunsets' Tequila Bar at Loews Don CeSar Hotel,0x88c302caf69f54f1:0xdbfcd85ccc764c4f,FL
Southern Seafood & BBQ,0x88f5036de11bf8c7:0x64de326982252c1b,GA
Joe's Crab Shack,0x88e71286d860ae23:0x8f1e6c4ea94674a6,FL
Del Frisco's Grille,0x88d8d69ac8872eed:0x27b6361453f3fee4,FL
Off The Hook Crabs & Fish,0x88f51dda89203345:0x830ec19f9231054c,GA
Seasoned 7 Bistro & Bar,0x88f4e3041a898bf5:0x5e3fd49e82484ce2,GA
Cajun Grill,0x89b7c702bd08b4c9:0x813f295875c3f328,MD
Malcolm's,0x88d8d9c41c7d6f61:0x2a19314ad351e01b,FL
One Way Louisiana Style Seafood,0x88f50160cb35a85f:0x7ad0f83428c670a5,GA
Captain's Catch,0x88e5b4f34690250d:0x6ba06216c5411de4,FL
Wings & Seafood,0x88f4fbae9fa4cc89:0xec4c48740a079952,GA
JJ's Fish & Chicken,0x89adbc1fa2911fdb:0xdd13364846c62db7,NC
The Cypress Landing Restaurant At Bayside Marina,0x89af8f092df92d95:0xbef3511f722e9498,NC
Crab Du Jour - Asheville,0x8859f34145ec1ee7:0x5e5e5e3f484e66da,NC
Seafood Center,0x88f257a43d4a2475:0xf8fc14856ffdd940,GA
13 American Table,0x88d8e218d8f60b33:0x59198f48e99f2472,FL
Atlantic Restaurant & Sport Lounge,0x88d9ba591d700baf:0xda28a38d3a9d364f,FL
Chart House - CLOSED,0x88d9b7ccc71589f3:0x8c2e01f74a939004,FL
Hampton Seafood,0x88582c3226b86be5:0x65b465180190008c,SC
Nemo Sports Bar,0x88dae2c9d6a75027:0x1d07c14380c72ba7,FL
Tunis Seafood Wings Subs,0x88e5c5b33033e21b:0xe2393298c6949343,FL
Lolailo The Original,0x88e77f012da4f8e5:0xec84885f62f0a379,FL
La Granja Parrila,0x88d905db368b8d7b:0x28fddfae9a67f2b7,FL
Ocean-N-Motion,0x88f0411b336ef55d:0x7ff50ffafaf24a1f,GA
Urban Crab Shack,0x89c809b6b69d46e7:0x64cb16d84f6a7f15,MD
Sushi Factory,0x88de61125e392837:0xef7af8b0e1e0265d,FL
Mainely Lobster and Seafood Too!,0x88e4d0810bafa93f:0xab8d5f1e3774c15c,GA
Steven's Restaurant & Oyster,0x89007d8580c6b751:0x7bc7cc9115bc6cfa,SC
Captain D's,0x89b7bc2fdfabe817:0x129b9bf593caf743,MD
Popeyes Louisiana Kitchen,0x89ba8476612eb891:0xfd803e8a72ec5497,VA
