,Estado,Densudad,Poblacion,Porc
0,Alaska,0,732673,"0,03%"
1,Alabama,37,5039877,"0,30%"
2,Arkansas,22,3025891,"0,45%"
3,Arizona,25,7276316,"1,37%"
4,California,93,39237836,"-0,66%"
5,Colorado,22,5812069,"0,48%"
6,Connecticut,251,3605597,"0,15%"
7,Delaware,156,1003384,"1,16%"
8,Florida,128,21781128,"0,98%"
9,Georgia,70,10799566,"0,69%"
10,Haw i,51,1441553,"-0,71%"
11,Iowa,22,3193079,"0,14%"
12,Idaho,9,1900923,"2,88%"
13,Illinois,84,12671469,"-0,89%"
14,Indiana,72,6805985,"0,30%"
15,Kansas,14,2934582,"-0,04%"
16,Kentucky,43,4509394,"0,12%"
17,Luisiana,34,4624047,"-0,58%"
18,Massachusetts,256,6984723,"-0,53%"
19,Maryland,192,6165129,"-0,12%"
20,Maine,15,1372247,"0,73%"
21,M¡chigan,40,10050811,"-0,17%"
22,Minnesota,25,5707390,"0,00%"
23,Misuri,34,6168187,"0,22%"
24,Misisipi,24,2949965,"-0,23%"
25,Montana,3,1104271,"1,66%"
26,Carolina del Norte,76,10551162,"0,90%"
27,Dakota,4,774948,"-0,52%"
28,Nebraska,10,1963692,"0,11%"
29,Nuevo,57,1388992,"0,81%"
30,Nueva,410,9267130,"-0,14%"
31,Nuevo,7,2115877,"-0,08%"
32,Nevada,11,3143991,"0,96%"
33,Nueva,140,19835913,"-1,58%"
34,Ohio,101,11780017,"-0,09%"
35,Oklahoma,22,3986639,"0,62%"
36,Oreg¢n,17,4246155,"0,11%"
37,Pensilvania,109,12964056,"-0,20%"
38,Rhode,274,1095610,"-0,06%"
39,Carolina del Sur,63,5190705,"1,17%"
40,Dakota,4,895376,"0,93%"
41,Tennessee,64,6975218,"0,80%"
42,Texas,42,29527941,"1,06%"
43,Utah,15,3337975,"1,72%"
44,Virginia,78,8642274,"0,12%"
45,Vermont,26,64557,"0,48%"
46,Washington,42,7738692,"0,26%"
47,Wisconsin,35,5895908,"0,06%"
48, - ,28,1782959,"-0,38%"
49,Wyoming,2,578803,"0,27%"
