,Estado,Descripcion,superficie,siglas
0,Alabama,State of Alabama,135756.0,AL
1,Alaska,State of Alaska,1717854.0,AK
2,Arizona,State of Arizona,295254.0,AZ
3,Arkansas,State of Arkansas,137732.0,AR
4,California,State of California,42397.0,CA
5,Carolina del Norte,State of North Carolina,139389.0,NC
6,Carolina del Sur,State of South Carolina,82932.0,SC
7,Colorado,State of Colorado,269601.0,CO
8,Connecticut,State of Connecticut,14357.0,CT
9,Dakota del Norte,State of North Dakota,183112.0,ND
10,Dakota del Sur,State of South Dakota,199731.0,SD
11,Delaware,State of Delaware,6447.0,DE
12,Florida,State of Florida,170304.0,FL
13,Georgia,State of Georgia,153909.0,GA
14,Hawái8?,"State of Hawaii,",28311.0,HI
15,,Moku'?ina o Hawai'i,,
16,Idaho,State of Idaho,216446.0,ID
17,Illinois,State of Illinois,149998.0,IL
18,Indiana,State of Indiana,94321.0,IN
19,Iowa,State of Iowa,145743.0,IA
20,Kansas,State of Kansas,213096.0,KS
21,Kentucky,Commonwealth of Kentucky,104659.0,KY
22,Luisiana9?,"State of Louisiana,",134264.0,LA
23,,État de Louisiane,,
24,Maine,State of Maine,91646.0,ME
25,Maryland,State of Maryland,32133.0,MD
26,Massachusetts,Commonwealth of Massachusetts,27336.0,MA
27,Míchigan12?,State of Michigan,250494.0,MI
28,Minnesota,State of Minnesota,225171.0,MN
29,Misisipi13?,State of Mississippi,125434.0,MS
30,Misuri14?,State of Missouri,180533.0,MO
31,Montana,State of Montana,380838.0,MT
32,Nebraska,State of Nebraska,200345.0,NE
33,Nevada,State of Nevada,286351.0,NV
34,Nueva Jersey16?,State of New Jersey,22588.0,NJ
35,Nueva York18?,State of New York,141299.0,NY
36,Nuevo Hampshire19?,State of New Hampshire,24216.0,NH
37,Nuevo México21?,"State of New Mexico,",314915.0,NM
38,,Estado de Nuevo México,,
39,Ohio,State of Ohio,116096.0,OH
40,Oklahoma,State of Oklahoma,181035.0,OK
41,Oregón23?,State of Oregon,254805.0,OR
42,Pensilvania24?,Commonwealth of Pennsylvania,119283.0,PA
43,Rhode Island,State of Rhode Island,4002.0,RI
44,Tennessee,State of Tennessee,109151.0,TN
45,Texas26?,State of Texas,695621.0,TX
46,Utah,State of Utah,219887.0,UT
47,Vermont,State of Vermont,24901.0,VT
48,Virginia,Commonwealth of Virginia,110785.0,VA
49,Virginia Occidental,State of West Virginia,62755.0,WV
50,Washington,State of Washington,184665.0,WA
51,Wisconsin,State of Wisconsin,169639.0,WI
52,Wyoming,State of Wyoming,253336.0,WY
