fecha,valoracion,comentario,gmap_id,estado
2020-10-06 16:22:48.099,4,"This a must try!!! The Whiting was seasoned and fried to perfection!! The shrimp was great! The crab cluster in the boil bag was AMAZING!! it was huge!! Also received shrimp in the bag which were a nice size and seasoned very well.  Customer service was great, very friendly, food was prepared in a timely manner! I hate to complain but I'd loved to have a larger portion of fries, the corn was overcooked, and the crab was mushy but the batter was amazing. I'd definitely go back",0x89ba97718dd7f71d:0x9dbb50b003f0b6ce,VA
2021-06-28 15:06:14.422,3,I really tried to support our people. This is the ghettos place I've been to. They don't give you a receipt they say check your statement. they offer you a drink  with your meal but The lady said if you don't ask for your drink you won't get it and they have no ice,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce,VA
2020-07-31 07:46:27.983,5,Black Owned. You asked for it and now you have it. Excellent service and really good price but I must warn you that the crabs are ridiculously good. My family are crab critics and they just kept telling me how good they taste. This is called Rich's Seafood and he does a lot. This is the new official official spot to get your crabs. The flavor is different from any crabs I have had locally. You definitely won't have to steam your own crabs anymore. Just give this establishment 1 try and you will be very impressed. Keep up the great work and expand when you can!,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce,VA
2020-08-22 22:26:47.262,5,I always order my live crabs here.  They give you a bang for your buck.   The live crabs are always fresh.  I just tried their crabcakes...OMG.  THEY WERE HUGE AND SCRUPTIOUS.  Best crabcakes I've tasted in this area in a long time.  Prices are reasonable.  Not cheap but reasonably priced.  Its well worth it. The picture below is for size comparison to their crabcakes and a large egg.  Wow,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce,VA
2021-05-21 19:14:52.389,2,Lately the crabs haven't been fully cleaned on the outside and the cashier lady is very rude.,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce,VA
2021-04-17 14:24:24.441,4,Definitely gives a person his or her their money worth of seafood!!!,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce,VA
2020-11-10 23:18:25.995,5,"We had fish, shrimp, and crab cakes. The crab cakes were very good and generously portioned. The fish and shrimp were fantastic! And I always thought I knew what hushpuppies were...but boy, was I wrong! I will drive out of my way to go back!",0x89ba97718dd7f71d:0x9dbb50b003f0b6ce,VA
2020-08-15 21:58:12.241,4,"The food and service is Great, but I do have some suggestions. Please make sure  fried crabs are done all the way, drain the food when it comes out the fryer, & wrap crabs in white butcher paper!!! Other than that everything is great. Much success to this black own Bussniess.",0x89ba97718dd7f71d:0x9dbb50b003f0b6ce,VA
2021-02-10 20:39:41.144,5,"Healthy , meaty and sweet blue crabs! I’m impressed!",0x89ba97718dd7f71d:0x9dbb50b003f0b6ce,VA
2020-08-27 23:24:57.147,5,Good seafood. Nice sized shrimp and affordable prices. Boil bags are not overly salty.,0x89ba97718dd7f71d:0x9dbb50b003f0b6ce,VA
